品名,档口,师生补贴价,熟重,单位
白馒头,八号档口·白案,0.35,110g,个
玉米馒头,,0.7,100g,个
酸辣土豆丝,八号档口·白案,1.4,100g,份
白馒头,八号档口·白案,0.35,110g,个
玉米馒头,八号档口·白案,0.7,100g,个
黑米馒头,八号档口·白案,0.7,100g,个
夹层馒头,八号档口·白案,0.7,100g,个
面发糕,八号档口·白案,0.49,110g,个
红豆卷,八号档口·白案,1.75,100g,个
花卷,八号档口·白案,0.49,110g,个
小花卷,八号档口·白案,0.35,50g,个
芝麻酱花卷,八号档口·白案,0.7,100g,个
肉末花卷,八号档口·白案,1.4,100g,个
三角糖包,八号档口·白案,0.49,100g,个
豆沙包,八号档口·白案,0.49,100g,个
奶黄包,八号档口·白案,0.7,33g,个
黑米糕,八号档口·白案,0.84,50g,个
鲜肉大包,八号档口·白案,1.4,115g,个
菜肉包,八号档口·白案,0.63,100g,个
腌菜包,八号档口·白案,0.49,100g,个
咸菜肉包,八号档口·白案,1.05,100g,个
肉夹馍,八号档口·白案,2.45,—,个
沙县蒸饺,八号档口·白案,4.2,8个/份,份
灌汤小笼包,八号档口·白案,4.2,5个/份,份
小笼包,八号档口·白案,2.8,4个/份,份
紫薯包,八号档口·白案,1.96,80g,个
紫薯马蹄卷,八号档口·白案,1.4,120g,个
马蹄卷,八号档口·白案,1.05,120g,个
金麦流沙包,八号档口·白案,1.75,35g,个
酱香包,八号档口·白案,1.96,100g,个
酱肉包,八号档口·白案,1.05,100g,个
肉沫粉丝包,八号档口·白案,1.4,100g,个
麻辣粉丝包,八号档口·白案,1.4,100g,个
香菇青菜包,八号档口·白案,1.05,100g,个
梅干菜包,八号档口·白案,1.4,100g,个
鱼香肉丝包,八号档口·白案,1.75,100g,个
豆腐笋包,八号档口·白案,1.05,100g,个
马拉糕,八号档口·白案,1.96,110g,个
蒸蛋糕,八号档口·白案,2.1,110g,个
千层糕,八号档口·白案,1.4,110g,个
蒸饺,八号档口·白案,3.5,20g*5,份
烧麦,八号档口·白案,2.8,40g*4,份
白粥,八号档口·白案,0.49,300g,份
黑米粥(杯),八号档口·白案,1.96,420g,杯
小米粥(份),八号档口·白案,1.05,310g,份
红豆粥(杯),八号档口·白案,1.96,420g,杯
绿豆粥,八号档口·白案,1.05,310g,份
皮蛋瘦肉粥,八号档口·白案,4.2,310g,份
豆腐脑,八号档口·白案,2.1,300g,份
清水鸡蛋,八号档口·白案,0.63,60g,个
卤鸡蛋,八号档口·白案,1.05,60g,个
咸鸭蛋,八号档口·白案,1.4,60g,个
玉米棒,八号档口·白案,3.5,160g,根
蒸红薯,八号档口·白案,11.2,16元/斤,斤
杂粮米饭,八号档口·白案,1.05,200g,份
红烧白萝卜,七号档口·烧菜,0.7,120g,份
红烧冬瓜片,七号档口·烧菜,1.4,160g,份
麻婆豆腐,七号档口·烧菜,2.1,160g,份
肉末烧冬瓜,七号档口·烧菜,2.1,160g,份
茄子烧豆角,七号档口·烧菜,2.1,140g,份
大白菜烧油豆腐,七号档口·烧菜,2.1,160g,份
韭菜烧鸭血,七号档口·烧菜,2.1,140g,份
土豆烧茄子,七号档口·烧菜,2.1,140g,份
鸭血烧豆腐,七号档口·烧菜,2.1,160g,份
豆角烧土豆条,七号档口·烧菜,2.1,140g,份
肉沫茄子,七号档口·烧菜,2.8,140g,份
苦瓜烧肉,七号档口·烧菜,2.8,140g,份
花菜烧肉,七号档口·烧菜,2.8,140g,份
五花肉烧干子,七号档口·烧菜,2.8,140g,份
海带结烧肉,七号档口·烧菜,2.8,160g,份
萝卜烧肉,七号档口·烧菜,2.8,160g,份
土豆烧五花,七号档口·烧菜,2.8,160g,份
冬瓜烧肉,七号档口·烧菜,2.8,160g,份
素鸡烧肉,七号档口·烧菜,2.8,160g,份
千叶豆腐烧肉,七号档口·烧菜,2.8,140g,份
茶树菇烧肉,七号档口·烧菜,4.2,160g,份
土豆烧鸡,七号档口·烧菜,4.2,160g,份
香菇烧鹌鹑蛋,七号档口·烧菜,4.2,160g,份
胡萝卜烧鸭,七号档口·烧菜,4.2,160g,份
莴苣烧鸡,七号档口·烧菜,4.2,160g,份
腐竹烧肉,七号档口·烧菜,4.2,160g,份
黄瓜烧鸡,七号档口·烧菜,4.2,160g,份
干豆角烧肉,七号档口·烧菜,4.2,160g,份
芋头烧肉,七号档口·烧菜,4.2,160g,份
秘汁烧鸡块,七号档口·烧菜,4.9,140g,份
红烧鱼块,七号档口·烧菜,4.9,140g,份
黄焖圆子,七号档口·烧菜,6.3,160g,份
玉米烧排骨,七号档口·烧菜,6.3,160g,份
土豆烧排骨,七号档口·烧菜,6.3,160g,份
板栗烧鸡,七号档口·烧菜,6.3,160g,份
糖醋排骨,七号档口·烧菜,8.4,140g,份
胡萝卜烧羊肉,七号档口·烧菜,8.4,160g,份
油饼,六号档口·小吃,1.75,—,个
千层饼,六号档口·小吃,1.4,—,份
鸡肉饼,六号档口·小吃,3.5,—,个
酱香饼,六号档口·小吃,1.4,—,份
小酥饼,六号档口·小吃,1.4,—,个
手抓饼,六号档口·小吃,3.5,—,份
土豆饼,六号档口·小吃,1.75,—,份
绿茶饼,六号档口·小吃,2.45,—,份
南瓜饼,六号档口·小吃,2.45,—,份
蔬菜饼,六号档口·小吃,2.45,—,个
莲藕饼,六号档口·小吃,2.45,—,个
包菜饼,六号档口·小吃,2.45,—,个
豆沙饼,六号档口·小吃,2.45,—,个
梅菜扣肉饼,六号档口·小吃,3.5,—,个
红豆饼,六号档口·小吃,1.4,—,份
香肠卷饼,六号档口·小吃,4.2,—,份
鸡蛋卷饼,六号档口·小吃,4.55,—,个
煎牛肉饼,六号档口·小吃,3.5,—,个
煎鲜肉饼,六号档口·小吃,3.15,—,个
杂粮煎饼,六号档口·小吃,3.5,—,份
鸡蛋灌饼,六号档口·小吃,3.5,—,份
萝卜丝饼,六号档口·小吃,2.1,—,个
炸玉米饼,六号档口·小吃,1.75,—,个
鸡蛋烤饼,六号档口·小吃,3.5,—,个
武汉三鲜豆皮,六号档口·小吃,3.5,—,份
煎鸡蛋,六号档口·小吃,1.05,—,个
水煎包(3个),六号档口·小吃,2.8,—,3个
牛肉煎包(2个),六号档口·小吃,2.8,—,2个
三明治,六号档口·小吃,3.5,—,份
韩国烤馒头(4个),六号档口·小吃,3.5,—,4个
炸麻花,六号档口·小吃,3.5,—,根
面窝,六号档口·小吃,1.05,—,个
小面窝(3个),六号档口·小吃,2.1,—,3个
苕面窝,六号档口·小吃,1.75,—,个
番茄鸡蛋炒粉,六号档口·小吃,5.25,—,大份
腌菜肉丝炒粉,六号档口·小吃,7,—,份
牛肉炒粉,六号档口·小吃,7,—,份
锅贴饺,六号档口·小吃,3.5,—,个
鸡冠饺,六号档口·小吃,1.75,—,个
土豆泥,六号档口·小吃,3.5,—,份
欢喜坨,六号档口·小吃,1.05,—,个
糯米鸡,六号档口·小吃,2.45,—,个
肉夹馍(小吃),六号档口·小吃,3.5,—,个
油香,六号档口·小吃,1.4,—,个
麻团(4个),六号档口·小吃,3.5,—,4个
油条,六号档口·小吃,1.19,—,根
韭菜盒子,六号档口·小吃,1.75,—,个
饭团(2个),六号档口·小吃,2.8,—,2个
春卷(3个),六号档口·小吃,3.5,—,3个
肠粉,六号档口·小吃,3.5,—,份
薯塔,六号档口·小吃,3.5,—,串
公婆饼,六号档口·小吃,3.5,—,个
豆腐脑(小吃),六号档口·小吃,2.1,—,碗
鸡蛋火腿炒饭,六号档口·小吃,5.25,240g,份
肉丝炒饭,六号档口·小吃,5.6,240g,份
粉蒸萝卜丝,五号档口·蒸菜,0.7,100g,份
蒸南瓜,五号档口·蒸菜,0.7,100g,份
粉蒸土豆,五号档口·蒸菜,0.7,100g,份
剁椒蒸豆腐,五号档口·蒸菜,2.1,120g,份
双椒娃娃菜,五号档口·蒸菜,2.1,120g,份
蒜蓉蒸冬瓜,五号档口·蒸菜,2.1,120g,份
蒜蓉粉丝蒸白菜,五号档口·蒸菜,2.1,120g,份
剁椒芋头,五号档口·蒸菜,2.1,120g,份
蒜蓉金针菇,五号档口·蒸菜,2.1,120g,份
米粉蒸茄子,五号档口·蒸菜,2.1,120g,份
味极鲜蒸蛋羹,五号档口·蒸菜,2.1,120g,份
糯米蒸南瓜,五号档口·蒸菜,2.1,120g,份
粉蒸茼蒿,五号档口·蒸菜,2.1,120g,份
粉蒸藕,五号档口·蒸菜,2.1,120g,份
青椒蒸蛋,五号档口·蒸菜,2.1,120g,份
蒸紫薯,五号档口·蒸菜,2.1,120g,份
酒酿南瓜,五号档口·蒸菜,2.8,120g,份
火腿蒸蛋,五号档口·蒸菜,2.8,120g,份
黑椒牛肉汁土豆泥,五号档口·蒸菜,2.8,120g,份
秋葵蒸鸡蛋,五号档口·蒸菜,2.8,120g,份
湘味肉沫油豆腐,五号档口·蒸菜,4.2,120g,份
肉沫蒸娃娃菜,五号档口·蒸菜,4.2,120g,份
蒸山药,五号档口·蒸菜,4.2,120g,份
鸡蛋蒸营养豆腐,五号档口·蒸菜,4.2,120g,份
蒸蛋饺,五号档口·蒸菜,4.2,120g,份
肉沫蒸鸡蛋,五号档口·蒸菜,4.2,120g,份
番茄汽水肉,五号档口·蒸菜,4.9,120g,份
剁椒鸡腿,五号档口·蒸菜,4.9,120g,份
珍珠豆腐元,五号档口·蒸菜,4.9,120g,份
虾仁蒸蛋,五号档口·蒸菜,4.9,120g,份
红糖八宝饭,五号档口·蒸菜,4.9,120g,份
梅菜扣肉(蒸),五号档口·蒸菜,6.3,100g,份
粉蒸肉,五号档口·蒸菜,6.3,100g,份
糯米蒸排骨,五号档口·蒸菜,6.3,100g,份
珍珠肉元,五号档口·蒸菜,6.3,100g,份
莲藕排骨汤,五号档口·蒸汤,6.3,300g,份
玉米排骨汤,五号档口·蒸汤,6.3,300g,份
香菇鸡汤,五号档口·蒸汤,6.3,300g,份
滋补羊肉汤,五号档口·蒸汤,6.3,300g,份
2两米饭(五号),五号档口·蒸汤,0.42,200g,份
清炒包菜,四号档口·家常,0.7,100g,份
清炒豆芽,四号档口·家常,0.7,100g,份
清炒红白萝卜,四号档口·家常,0.7,100g,份
酸辣土豆丝,四号档口·家常,1.4,100g,份
芹菜土豆条,四号档口·家常,1.4,100g,份
清炒南瓜丝,四号档口·家常,1.4,100g,份
醋溜白菜,四号档口·家常,1.4,100g,份
麻辣豆腐,四号档口·家常,1.4,140g,份
角瓜烧土豆,四号档口·家常,1.4,140g,份
清炒油麦菜,四号档口·家常,2.1,100g,份
肉末烧冬瓜(4号),四号档口·家常,2.1,140g,份
大白菜烧油豆腐(4),四号档口·家常,2.1,140g,份
酸辣藕丁,四号档口·家常,2.1,110g,份
土豆烧肉(4),四号档口·家常,2.1,110g,份
萝卜烧肉(4),四号档口·家常,2.1,110g,份
冬瓜烧肉(4),四号档口·家常,2.1,110g,份
包菜烧肉片,四号档口·家常,2.1,110g,份
孜然土豆片,四号档口·家常,2.1,110g,份
娃娃菜(4),四号档口·家常,2.1,100g,份
蒜蓉炒茼蒿,四号档口·家常,2.8,110g,份
蕃茄炒鸡蛋,四号档口·家常,2.8,110g,份
青椒炒鸡蛋,四号档口·家常,2.8,110g,份
韭菜炒鸡蛋,四号档口·家常,2.8,110g,份
泡菜苕粉肉丝,四号档口·家常,2.8,110g,份
肉末茄子,四号档口·家常,2.8,110g,份
家常豆腐,四号档口·家常,2.8,110g,份
苦瓜烧肉(4),四号档口·家常,2.8,110g,份
花菜烧肉(4),四号档口·家常,2.8,110g,份
莴苣烧肉,四号档口·家常,2.8,110g,份
鸭血烧豆腐(4),四号档口·家常,2.8,110g,份
清炒西兰花,四号档口·家常,2.8,110g,份
蒜蓉菠菜,四号档口·家常,2.8,100g,份
手撕面筋,四号档口·家常,4.2,110g,份
外婆菜炒鸡蛋,四号档口·家常,4.2,110g,份
青椒爆猪肝,四号档口·家常,4.2,110g,份
玉米青豆鸡丁,四号档口·家常,4.2,110g,份
虎皮青椒烧肉,四号档口·家常,4.2,110g,份
千叶豆腐烧肉(4),四号档口·家常,4.2,110g,份
萝卜烧鸭,四号档口·家常,4.2,160g,份
黄瓜烧鸡(4),四号档口·家常,4.2,160g,份
鸡汁焗豆腐,四号档口·家常,4.2,160g,份
农家一碗香,四号档口·家常,4.2,160g,份
小炒西葫芦,四号档口·家常,4.2,160g,份
鱼香肉丝(4),四号档口·家常,4.2,110g,份
豆角炒肉丝,四号档口·家常,4.2,110g,份
莴苣炒肉丝,四号档口·家常,4.2,110g,份
青椒炒肉丝,四号档口·家常,4.2,110g,份
腐竹烧肉(4),四号档口·家常,4.2,110g,份
红烧藕圆,四号档口·家常,4.9,160g,份
毛豆米炒鸡蛋,四号档口·家常,4.9,160g,份
咖哩烧鸡块,四号档口·家常,4.9,160g,份
家常鱼块,四号档口·家常,4.9,160g,份
梅干菜烧肉(4),四号档口·家常,4.9,160g,份
水煮肉片,四号档口·家常,4.9,160g,份
小炒黄牛肉(4),四号档口·家常,6.3,110g,份
黄焖肉圆,四号档口·家常,6.3,160g,份
板栗烧仔鸡,四号档口·家常,6.3,160g,份
土豆烧牛腩,四号档口·家常,6.3,160g,份
干煸鸡柳,四号档口·家常,6.3,110g,份
土豆烧排骨(4),四号档口·家常,6.3,160g,份
2两米饭(4号),四号档口·家常,0.42,200g,份
优质米饭,三号档口·红案,1.05,200g,份
葱香荷包蛋,三号档口·红案,1.4,—,个
干锅包菜,三号档口·红案,1.4,110g,份
狼牙土豆,三号档口·红案,2.1,110g,份
蟹黄南瓜,三号档口·红案,2.1,110g,份
炸薯片,三号档口·红案,2.8,110g,份
干煸藕丝,三号档口·红案,2.8,110g,份
孜然花菜,三号档口·红案,2.8,110g,份
炸臭干子,三号档口·红案,2.8,110g,份
蟹黄豆腐,三号档口·红案,2.8,110g,份
炸平菇,三号档口·红案,2.8,110g,份
永州鸭血,三号档口·红案,3.5,110g,份
烤红薯,三号档口·红案,3.5,110g,份
火山石烤肠,三号档口·红案,3.5,110g,个
香酥红薯,三号档口·红案,3.5,110g,份
炸蘑菇,三号档口·红案,3.5,110g,份
烤面筋,三号档口·红案,3.5,110g,份
紫苏土豆片,三号档口·红案,3.5,110g,份
酸辣鸡杂,三号档口·红案,4.9,110g,份
韭菜炒河虾,三号档口·红案,4.9,110g,份
脆黄瓜炒肉,三号档口·红案,4.9,110g,份
雪花鸡柳,三号档口·红案,4.9,110g,份
干煸长豆角,三号档口·红案,4.9,110g,份
腊八豆炒鸡蛋,三号档口·红案,4.9,110g,份
江湖大麻鱼,三号档口·红案,6.3,110g,份
川味小炒肉,三号档口·红案,6.3,110g,份
啤酒鸭,三号档口·红案,6.3,110g,份
川香小酥肉,三号档口·红案,6.3,110g,份
香酥鸡排,三号档口·红案,6.3,110g,份
锅包肉,三号档口·红案,6.3,110g,份
牙签肉,三号档口·红案,6.3,110g,份
辣子鸡丁,三号档口·红案,6.3,110g,份
川味水煮牛肉,三号档口·红案,8.4,110g,份
泡椒萝卜,二号档口·卤菜,0.7,60g,份
绿豆芽(卤),二号档口·卤菜,0.7,60g,份
小葱拌豆腐,二号档口·卤菜,1.4,120g,份
蒜泥小白菜,二号档口·卤菜,2.1,110g,份
蒜泥广东菜心,二号档口·卤菜,2.1,110g,份
蒜泥土豆丝,二号档口·卤菜,2.1,110g,份
拌海带丝,二号档口·卤菜,2.1,120g,份
鹌鹑蛋,二号档口·卤菜,2.1,6个,份
炝拍黄瓜,二号档口·卤菜,2.1,120g,份
蒜泥菠菜,二号档口·卤菜,2.8,110g,份
卤藕,二号档口·卤菜,2.8,120g,份
皮蛋拌豆腐,二号档口·卤菜,2.8,120g,份
卤水油干,二号档口·卤菜,2.8,120g,份
咖喱素鸡,二号档口·卤菜,2.8,110g,份
花生仁拌西芹,二号档口·卤菜,2.8,120g,份
全味拌毛豆,二号档口·卤菜,2.8,120g,份
金针菇拌粉丝,二号档口·卤菜,2.8,120g,份
拌腐竹,二号档口·卤菜,2.8,120g,份
卤豆油皮,二号档口·卤菜,2.8,120g,份
拌黑木耳,二号档口·卤菜,2.8,120g,份
五彩玉米粒,二号档口·卤菜,2.8,120g,份
孜然鸡丝,二号档口·卤菜,4.9,110g,份
卤鸡架,二号档口·卤菜,4.9,110g,份
虎皮鸡爪(卤),二号档口·卤菜,6.3,2个,份
卤水鸡,二号档口·卤菜,6.3,110g,份
盐水鸭,二号档口·卤菜,6.3,110g,份
卤鸭胗,二号档口·卤菜,6.3,110g,份
卤味红肠,二号档口·卤菜,6.3,110g,份
麻辣鸭头,二号档口·卤菜,6.3,110g,份
卤牛肉,二号档口·卤菜,6.3,110g,份
水果拼小份,二号档口·卤菜,2.1,100g,份
水果拼大份,二号档口·卤菜,3.5,150g,份
卤千张结(2个),一号档口·粉面,0.7,—,2个
茶叶蛋,一号档口·粉面,1.05,—,个
虎皮鸡蛋,一号档口·粉面,1.05,—,个
小碗热干面,一号档口·粉面,1.33,205g,份
小碗原汤粉面,一号档口·粉面,1.33,450g,份
大碗热干面,一号档口·粉面,3.15,350g,份
桂林米粉,一号档口·粉面,3.5,800g,份
番茄鸡蛋粉面,一号档口·粉面,4.2,800g,份
重庆小面,一号档口·粉面,4.2,800g,份
酸辣粉,一号档口·粉面,4.2,800g,份
手工混沌(12个),一号档口·粉面,4.9,—,12个
炸酱面,一号档口·粉面,5.6,400g,份
三鲜粉面,一号档口·粉面,5.6,800g,份
水饺(14个),一号档口·粉面,5.6,—,14个
小炒肉拌面,一号档口·粉面,6.3,400g,份
酸菜肉丝粉面,一号档口·粉面,7,800g,份
土豆鸡块粉面,一号档口·粉面,7.7,800g,份
牛肉粉面,一号档口·粉面,9.1,800g,份
牛杂粉面,一号档口·粉面,9.1,800g,份
肥肠粉面,一号档口·粉面,9.1,800g,份
